address,district,estate,sub_district
机电路,上海周边,杭州湾星河荣御,慈溪
千新公路718弄,松江,世茂佘山里,佘山
菊盛路851弄,宝山,馨佳园十一街坊,顾村
蒸富路132弄,青浦,淀山新村,金泽
丰庄西路551弄,嘉定,丰庄十四街坊,丰庄
仙霞路750弄,长宁,虹仙小区,仙霞
汇成三村,徐汇,汇成三村,上海南站
西藏南路688弄,黄浦,老西门新苑,老西门
新村路1717弄,普陀,中鹰黑森林(中环凯旋宫),万里
东体育会路992弄,虹口,曲阳豪庭,大柏树
丰福路599弄,崇明,绿地长兴家园(南区),长兴岛
金海公路99弄,奉贤,佳源梦想广场,柘林
万安街677号,金山,胜利新村,朱泾
广中路680弄,虹口,珊瑚苑,广中路
林展路267弄,浦东,城林雅苑,三林南
平凉路2625弄,杨浦,中轩丽苑,杨浦大桥
龙吴路5599弄,闵行,新华小区,吴泾
银都路759弄,闵行,银都名墅,吴泾
东川路333弄,闵行,紫竹半岛,吴泾
龙吴路5599弄,闵行,新华小区,吴泾
银都路759弄,闵行,银都名墅,吴泾
曹家塘路220弄,闵行,塘泾南苑,吴泾
剑川路50弄,闵行,氯碱小区,吴泾
银都路759弄,闵行,银都名墅,吴泾
剑川路50弄,闵行,氯碱小区,吴泾
银都路759弄,闵行,银都名墅,吴泾
尚义路459弄,闵行,虹梅景苑三街坊,吴泾
银都路759弄,闵行,银都名墅,吴泾
永德路700弄,闵行,虹梅景苑一街坊,吴泾
曹家塘路220弄,闵行,塘泾南苑,吴泾
银都路759弄,闵行,银都名墅,吴泾
剑川路150弄,闵行,永德小区,吴泾
剑川路50弄,闵行,氯碱小区,吴泾
银都路759弄,闵行,银都名墅,吴泾
剑川路50弄,闵行,氯碱小区,吴泾
龙吴路5599弄,闵行,新华小区,吴泾
龙吴路5599弄,闵行,新华小区,吴泾
剑川路201弄,闵行,通海二小区,吴泾
剑川路201弄,闵行,通海二小区,吴泾
剑川路100弄2-139号,闵行,双柏小区,吴泾
剑川路201弄,闵行,通海二小区,吴泾
银都路759弄,闵行,银都名墅,吴泾
龙吴路5530弄,闵行,吴泾小区,吴泾
紫龙路500弄,闵行,嘉怡水岸(公寓),吴泾
永德路360弄,闵行,虹梅新苑(南区),吴泾
剑川路121弄,闵行,通海一小区,吴泾
银都路759弄,闵行,银都名墅,吴泾
紫龙路500弄,闵行,嘉怡水岸(公寓),吴泾
剑川路150弄,闵行,永德小区,吴泾
剑川路150弄,闵行,永德小区,吴泾
